,simulation_1
2084-05-10,10.5060226934737
2084-05-11,10.443865303508064
2084-05-12,10.355751295237312
2084-05-13,15.617150594450084
2084-05-14,11.656027926882345
2084-05-15,10.582669474609569
2084-05-16,10.351552867724948
2084-05-17,10.563058659058598
2084-05-18,10.790363935387152
2084-05-19,11.469341819909177
2084-05-20,11.52703382061064
2084-05-21,11.364566932735105
2084-05-22,11.07776492556281
2084-05-23,10.63946043246165
2084-05-24,10.708466271718624
2084-05-25,10.806609887362884
2084-05-26,10.856162527574213
2084-05-27,10.944519156964327
2084-05-28,11.083255933336623
2084-05-29,10.875873926820088
2084-05-30,11.039034626312503
2084-05-31,11.23743084389568
2084-06-01,11.320698471081162
2084-06-02,11.214980512219022
2084-06-03,10.691576382758193
2084-06-04,10.449042688429593
2084-06-05,10.509430550950091
2084-06-06,10.915122733225298
2084-06-07,11.284993526057704
2084-06-08,11.384212552403904
2084-06-09,11.2232914915492
2084-06-10,11.361742544614213
2084-06-11,11.811712640702723
2084-06-12,11.64380024781726
2084-06-13,11.17410342043111
2084-06-14,10.44811520716081
2084-06-15,9.56939316824674
2084-06-16,9.183895090599812
2084-06-17,9.441127659438836
2084-06-18,9.475130905215401
2084-06-19,9.448809738913774
2084-06-20,9.649741361433941
2084-06-21,9.87093914319375
2084-06-22,9.86214695193446
2084-06-23,10.062500616622978
2084-06-24,10.072630198634418
2084-06-25,9.837549346512859
2084-06-26,9.691583644677829
2084-06-27,9.80649066541212
2084-06-28,9.688044724970657
2084-06-29,9.682624196230128
2084-06-30,9.877153731969205
2084-07-01,10.137688044599226
2084-07-02,10.414517159992535
2084-07-03,10.125643327508069
2084-07-04,9.53389593178567
2084-07-05,9.783485916450802
2084-07-06,10.20202255595153
2084-07-07,10.346835408549062
2084-07-08,10.235344826518826
2084-07-09,10.000994161438
2084-07-10,9.1293256668145
2084-07-11,9.452944396189892
2084-07-12,9.774996545398423
2084-07-13,9.603064221454012
2084-07-14,8.691144785795816
2084-07-15,7.986273609485609
2084-07-16,7.721989148562913
2084-07-17,7.7498558779423945
2084-07-18,8.22254275054839
2084-07-19,8.409460274461589
2084-07-20,8.282132737441747
2084-07-21,7.862403213270293
2084-07-22,7.378131374150671
2084-07-23,7.528950154550119
2084-07-24,7.823367519584254
2084-07-25,8.01788465144693
2084-07-26,7.180135740826699
2084-07-27,6.676581631660269
2084-07-28,7.099997990728523
2084-07-29,7.440468200919039
2084-07-30,7.37701258563057
2084-07-31,7.110229018057867
2084-08-01,6.703334110265169
2084-08-02,6.399846093825242
2084-08-03,6.159547074299329
2084-08-04,6.279206162834494
2084-08-05,7.074820340767548
2084-08-06,8.00103174632404
2084-08-07,7.320485787852218
2084-08-08,9.57308112974165
2084-08-09,8.426952848627312
2084-08-10,6.706748424424802
2084-08-11,5.816314787025078
2084-08-12,6.062411806837683
2084-08-13,5.282606650528102
2084-08-14,4.868270049867084
2084-08-15,4.951698795025239
2084-08-16,5.4071950914005615
2084-08-17,5.9428086331473295
2084-08-18,5.214324306921178
2084-08-19,5.085455235760227
2084-08-20,5.492560730807894
2084-08-21,5.488663700723686
2084-08-22,4.942158353634432
2084-08-23,4.89110733956444
2084-08-24,5.112179431862447
2084-08-25,5.282156299257667
2084-08-26,5.47222912179983
2084-08-27,6.884775263599767
2084-08-28,6.201935755444884
2084-08-29,7.221173329046382
2084-08-30,7.545252382101769
2084-08-31,7.703430825346203
2084-09-01,8.889757613624546
2084-09-02,6.599353898956654
2084-09-03,4.60672092687823
2084-09-04,4.109172532905898
2084-09-05,3.9666137867068088
2084-09-06,5.659151532273691
2084-09-07,5.610594943665586
2084-09-08,4.658905051222913
2084-09-09,4.272138555658822
2084-09-10,5.8024076307985775
2084-09-11,4.00424949873279
2084-09-12,3.5783868847063034
2084-09-13,3.1219817043058136
2084-09-14,3.2055421138002376
2084-09-15,7.61996603559467
2084-09-16,7.215358815015428
2084-09-17,7.09770034253744
2084-09-18,8.655465607154738
2084-09-19,12.580026063088958
2084-09-20,6.950812309398948
2084-09-21,5.9000186861722295
2084-09-22,9.668955898248417
2084-09-23,7.744251924691506
2084-09-24,6.140129245901155
2084-09-25,6.927401087779315
2084-09-26,4.722510254046855
